title,patent_number
"Electric-power-generating-facility operation management support system, electric-power-generating-facility operation management support method, and program for executing support method, and program for executing operation management support method on computer",US-8069077-B2
Lifenet,US-7856361-B1
System and method for the creation and rebalancing of beneficial interests in index tracking and other investment vehicles over multiple market periods using fixed or regularly resetting prices to calibrate outstanding interest counts with liquidation entitlements,US-8538860-B1
Front end,US-8219417-B2
Lifescore,US-9483606-B1
"System for reducing payments risk, liquidity risk and systemic risk associated with payments-based transactions wherein a filter process module in each payment bank host application is integrated with payments processing such that payments instructions are filtered",US-7536326-B2
Aqua index,US-8676673-B2
Aqua index,US-8024239-B2
Leg pricer,US-8229838-B2
Leg pricer,US-8484126-B2
POS system,US-9047597-B2
Smart form,US-9947043-B2
Swap index,US-8965804-B2
Care engine,US-6802810-B2
Change card,US-7284696-B2
Claims card,US-8494938-B1
Legacy risk,US-8019671-B2
Live alerts,US-8244626-B2
Live alerts,US-8095452-B2
Live alerts,US-8407133-B2
Secure card,US-8376225-B1
Secure card,US-9299073-B1
Secure card,US-8109436-B1
Secure card,US-8733640-B1
VehicleTalk,US-7907976-B2
Bill control,US-8688576-B2
Car location,US-9105051-B2
Curve engine,US-8521630-B2
Diversatives,US-8473383-B2
Host capture,US-9292850-B2
Inside money,US-7020626-B1
Line handler,US-7082410-B1
Line handler,US-7222096-B2
Reallocation,US-7555453-B2
Test trading,US-7958043-B2
Test trading,US-7899740-B2
Test trading,US-7769675-B2
Test trading,US-7912782-B2
Change orders,US-8276810-B2
Check carrier,US-7225975-B1
Check carrier,US-7717329-B1
Check carrier,US-8272564-B2
Custom stores,US-8249939-B2
Custom stores,US-7526437-B1
Floorplanning,US-8032455-B2
Invoice entry,US-6832208-B1
Life calendar,US-8234194-B2
Micro auction,US-8719146-B2
Postage meter,US-5946671-A
Search engine,US-6421675-B1
Search engine,US-7725422-B2
Value network,US-8131567-B2
Access control,US-8254880-B2
Auction system,US-8930242-B2
Auction system,US-8150759-B2
Audit planning,US-8712813-B2
Audit planning,US-7885841-B2
Cash dispenser,US-6824046-B2
Data excavator,US-9824401-B2
Directed order,US-9846909-B2
Directed order,US-8799131-B2
Directed order,US-9898783-B2
Display module,US-7742054-B2
Goal insurance,US-8577764-B2
Hybrid account,US-8086526-B2
Hybrid account,US-8589287-B2
Hybrid account,US-8332311-B2
Loan screening,US-8600798-B1
Micro payments,US-9524496-B2
Payment system,US-8942997-B2
Payment system,US-8706577-B2
Price indexing,US-8244619-B2
Pruning method,US-8255474-B2
Sell-side icon,US-9652800-B1
Sell-side icon,US-8630930-B1
Ticket auction,US-7003485-B1
Ticket auction,US-RE41545-E
Trading system,US-7941357-B2
Trading system,US-6571222-B1
Trading system,US-7533052-B2
Trading system,US-8301547-B2
Travel account,US-9818106-B2
Travel account,US-9262758-B2
Travel account,US-8612350-B2
Trusted system,US-7275160-B2
Witness system,US-7418397-B2
Ad hoc workflow,US-8229964-B2
Automated entry,US-9881347-B2
Budget planning,US-7130822-B1
Computer system,US-8370211-B2
Data management,US-7805609-B2
Donation system,US-7870067-B2
Earnings alerts,US-9786014-B2
Exercise system,US-7056265-B1
Financial email,US-8751385-B1
Financial kiosk,US-8708228-B2
Latency locator,US-8280820-B2
Latency locator,US-7917446-B2
Latency monitor,US-7127422-B1
Lifetime income,US-7853509-B2
Lifetime income,US-8112345-B2
Metering system,US-4222518-A
Mobile payments,US-9111272-B2
Monitoring tool,US-7149799-B2
Opt-out payroll,US-8484106-B1
Patent analyzer,US-9542360-B2
Provider portal,US-9836580-B2
Range bid model,US-7797220-B2
Risk assessment,US-9959574-B2
Security system,US-9898726-B2
Strategy weight,US-7657481-B2
Trading circles,US-8799143-B1
User monitoring,US-7941327-B2
Adapter services,US-8332870-B2
Advisor referral,US-7962347-B2
Attribute engine,US-7401061-B2
Benefit planning,US-7974920-B2
Breakout indexes,US-8751353-B2
Budgetary ledger,US-8001020-B2
Budgetary ledger,US-7599865-B2
Check calculator,US-4569029-A
Claim processing,US-7356460-B1
Content charging,US-7822659-B2
Dialysis station,US-7801746-B2
Electronic check,US-7113925-B2
Electronic purse,US-6827258-B2
Electronic purse,US-6382505-B1
Electronic purse,US-6189782-B1
Electronic purse,US-6976625-B2
Extension ledger,US-10019763-B2
Fraud protection,US-7575157-B2
Image processing,US-9159101-B1
Internal routing,US-8131604-B2
Inventory system,US-7546255-B2
Item reservation,US-8301491-B2
Media management,US-9311674-B2
Patent optimizer,US-7716581-B2
Payer direct hub,US-7676434-B2
Personal journal,US-5913212-A
Prediction input,US-6473084-B1
Price calculator,US-7467105-B2
Proof of mailing,US-8341050-B2
Solutions server,US-8190506-B2
Solutions server,US-8571968-B2
Solutions server,US-7490061-B2
State reflection,US-7716280-B2
Trade allocation,US-7089206-B2
Trading software,US-9852472-B1
Trusted auctions,US-7827073-B2
Universal ledger,US-8620799-B2
Universal ledger,US-9697567-B2
Accounting system,US-7529699-B2
Accounting system,US-5193055-A
Accounting system,US-7848969-B2
Alerts life cycle,US-8375096-B2
Automated payment,US-6941281-B1
Calendar overlays,US-7039596-B1
Calendar overlays,US-9880977-B2
Calendar overlays,US-7668775-B2
Calendar overlays,US-9619436-B2
Consignment nodes,US-5845265-A
Content insurance,US-7389247-B2
Currency recycler,US-8756158-B2
Document exchange,US-7472083-B2
Equity protection,US-7917431-B2
Equity protection,US-8190516-B2
Financial gadgets,US-8346615-B2
Financial network,US-10050869-B2
Financial network,US-9755951-B2
Financial systems,US-9286634-B2
Flat fee mortgage,US-8380596-B2
Health forecaster,US-9110553-B2
Index rebalancing,US-6061663-A
Index rebalancing,US-7818241-B2
Index rebalancing,US-7574393-B2
Insurance product,US-8510135-B1
Interbank process,US-7844537-B2
Loan option model,US-7707101-B2
Parental controls,US-8459544-B2
Parental controls,US-8127982-B1
Point bank system,US-8751406-B2
Project predictor,US-7676490-B1
Real time trading,US-8548896-B2
Real time trading,US-7930234-B2
Reality alternate,US-9183560-B2
Refinancing model,US-7469225-B1
Stock credit card,US-6895386-B1
Stock price chart,US-7401038-B2
Tax analysis tool,US-9639898-B2
Tax refund system,US-7177829-B1
Tax refund system,US-8521625-B2
Tax refund system,US-7765132-B2
Time clock system,US-4812627-A
Transfer formulas,US-8712880-B2
Virtual gift card,US-8566169-B2
Visible insurance,US-9996884-B2
401K user software,US-6041313-A
Account permanence,US-8793186-B2
Account permanence,US-8190523-B2
Account permanence,US-7937324-B2
Accountancy system,US-3749892-A
Accounting process,US-7991658-B2
Alert architecture,US-9542675-B2
Allocation manager,US-8768794-B2
Asset reallocation,US-8108292-B1
Auto check reorder,US-7654447-B1
Backing management,US-9619840-B2
Benefit Management,US-8965778-B2
Benefit management,US-8515781-B2
Card reader device,US-8870070-B2
Compliance manager,US-8694556-B2
Compliance manager,US-8200707-B2
Credit risk mining,US-8671040-B2
Date data computer,US-4276606-A
Dynamic price axes,US-9870590-B2
Education planning,US-7680729-B2
Electronic closing,US-8571973-B1
FPGA memory paging,US-8548900-B1
Financial products,US-7970700-B2
Fraud risk advisor,US-7438226-B2
Fraud risk advisor,US-7708200-B2
Fraud risk advisor,US-7497374-B2
Fund on activation,US-8620781-B2
Gamma trading tool,US-7418416-B2
Guaranteed postage,US-9495809-B2
Income itemization,US-8719122-B1
Income itemization,US-8527376-B1
Insurance exchange,US-8521567-B2
Integrated auction,US-7162446-B1
Interactive system,US-7987010-B2
Interactive system,US-7613533-B2
Keystroke analysis,US-9412123-B2
Land software tool,US-7054741-B2
Land software tool,US-7580045-B2
Land software tool,US-7356406-B2
Market forecasting,US-8374904-B2
Market speedometer,US-7908204-B2
Multiple rate loan,US-8280808-B2
Order cancellation,US-8560431-B2
Pay request system,US-7933790-B2
Pay request system,US-8515864-B2
Pay yourself first,US-7797208-B2
Planning for value,US-8386297-B2
Retirement on-ramp,US-8050995-B1
Sentiment analysis,US-9208502-B2
Smart order router,US-9934532-B2
Surcharge auditing,US-8972293-B2
Synthetic currency,US-8108283-B2
Targeting messages,US-9299078-B2
Terminal apparatus,US-3938090-A
Traffic flow rates,US-9685078-B2
Transaction system,US-8768817-B2
Transferring items,US-8457994-B2
Vehicle middleware,US-10020995-B2
Waiver decisioning,US-8738519-B2
Web site valuation,US-8214272-B2
Metasearch engine for ordering at least one travel related item returned in combined search results and database results using at least one unstructured query and at least one structured query on multiple unique hosts and at least one database query on at least one database,US-9002934-B1
271 embedded alerts,US-9324111-B2
Algorithmic trading,US-8082219-B2
Antibodies to M-CSF,US-7592430-B2
Antibodies to M-CSF,US-7326414-B2
Antibodies to M-CSF,US-9718883-B2
Applicant screening,US-8650407-B2
Applicant screening,US-8631242-B2
Applicant screening,US-9043930-B2
Applicant screening,US-8418254-B2
Applicant screening,US-9705863-B2
Applicant screening,US-9710663-B2
Bank deposit method,US-RE43888-E
Bank deposit method,US-RE42820-E
Bank deposit method,US-7472826-B2
Bond trading system,US-6876309-B1
Bond trading system,US-7310051-B2
Bulk check acceptor,US-7922079-B2
Call indicator tool,US-9380265-B2
Car audio apparatus,US-5349326-A
Card issuing system,US-6955295-B2
Computer time clock,US-4924451-A
Credit sales system,US-3742451-A
Currency management,US-7813972-B2
Derivative products,US-8266026-B2
Derivative products,US-8265965-B2
Derivative products,US-8423446-B2
Derivative products,US-8447679-B2
Descriptor exchange,US-9904959-B2
Digital bank branch,US-9846906-B1
Dividend accounting,US-7818239-B1
Document calculator,US-9811857-B2
Enterprise planning,US-7693737-B2
Event participation,US-8706591-B2
Event participation,US-8001023-B2
Fact checker engine,US-9536266-B2
Fraud clearinghouse,US-7756783-B2
Generator libraries,US-7392213-B2
Guarantor mortgages,US-9928548-B2
Identity protection,US-8359278-B2
Information banking,US-8181858-B2
Inspection facility,US-9684934-B1
Inspection facility,US-9799077-B1
Long-term investing,US-8055569-B2
Long-term investing,US-7509278-B2
Longevity insurance,US-8010388-B2
Managing print jobs,US-6992794-B2
Method of searching,US-7519586-B2
Mobile transactions,US-9563888-B2
Modifiable mortgage,US-8595130-B2
Order entry actions,US-9672563-B2
Order entry actions,US-8660934-B2
Refund request tool,US-7797212-B2
Roadside assistance,US-9659301-B1
Roadside assistance,US-9881268-B1
Self-service system,US-6523743-B1
Self-service system,US-5915246-A
Skip tracing system,US-7257206-B2
Software versioning,US-9891906-B1
Street side sensors,US-9014911-B2
Target outcome fund,US-8838494-B2
Tax data clustering,US-9171334-B1
Tethered 3D scanner,US-9959608-B1
Time-sensitive cube,US-9852205-B2
Time-sensitive cube,US-8868486-B2
Total value bidding,US-7483852-B2
Transaction effects,US-10013717-B2
Transaction effects,US-9105062-B2
Transaction effects,US-9105064-B2
Transaction gateway,US-8069107-B2
Transactional cards,US-9652540-B2
Transfer instrument,US-8489483-B1
Transfer instrument,US-8060426-B2
Transfer instrument,US-7739168-B2
Transfer instrument,US-7010512-B1
Transfer instrument,US-8392306-B2
Vehicle diagnostics,US-9984511-B1
Vehicle diagnostics,US-9672665-B1
Vehicle diagnostics,US-10043322-B1
Vehicle diagnostics,US-9520006-B1
Vehicle recognition,US-8873807-B2
Web services broker,US-7725590-B2
Aircraft MRO manager,US-8195535-B2
Allocating resources,US-9479451-B1
Application clusters,US-8818888-B1
Application clusters,US-8478674-B1
Assistance on the go,US-9697525-B1
Assistance on the go,US-8805603-B1
Assistance on the go,US-9466061-B1
Assistance on the go,US-10032228-B2
Assistance on the go,US-9684924-B2
Assistance on the go,US-9639843-B1
Assistance on the go,US-8645014-B1
Assistance on the go,US-9070243-B1
Assistance on the go,US-9412130-B2
Assistance on the go,US-9406228-B1
Authorization system,US-8424750-B2
Automated assessment,US-9792655-B2
Bet guarantee system,US-5766075-A
Bond option modeling,US-7774266-B1
Calculator apparatus,US-7427013-B2
Capability predictor,US-7110956-B1
Cash managing system,US-5256862-A
Communication reward,US-8068809-B2
Communication system,US-8082197-B2
Community hub review,US-8219499-B2
Comparing taxonomies,US-8121875-B2
Converting documents,US-9064231-B2
Coverage at a glance,US-8645169-B1
Credit data analysis,US-8930263-B1
Credit event fixings,US-7783560-B2
Cross and post order,US-7908201-B2
Data analysis system,US-8768804-B2
Data-transfer system,US-4007355-A
Deal matching system,US-8341035-B2
Digital lien service,US-8234211-B2
Electronic checkbook,US-4623965-A
Electronic checkbook,US-4308588-A
Electronic checkbook,US-4222109-A
Electronic factoring,US-7082412-B1
Etiquette suggestion,US-9330567-B2
Future value drivers,US-7778910-B2
Insurance visibility,US-8620692-B2
Inter-product matrix,US-9830657-B2
Intermarket analysis,US-8442891-B2
Invention in finance,US-7236952-B1
Linked user accounts,US-9626720-B2
Loan management tool,US-8301558-B2
MLP financing system,US-8341072-B2
MLP financing system,US-7734540-B2
Market data recovery,US-9842366-B2
Market data recovery,US-8108289-B2
Market data recovery,US-8359261-B2
Marketplace payments,US-8392273-B2
Multi-position chair,US-7293825-B2
Network-based system,US-7333947-B2
Network-based system,US-7483858-B2
Open clearing system,US-8131627-B2
Party payment system,US-8065190-B2
Payroll change alert,US-8498910-B1
Pension fund systems,US-8566206-B2
Pension fund systems,US-8533087-B2
Point of sale device,US-6003008-A
Point service system,US-7124109-B2
Product sales system,US-7698168-B2
Remittance processor,US-4126779-A
Representing records,US-8572041-B2
Retail price hedging,US-8577698-B2
Smart device lockout,US-9009807-B2
Smart secure storage,US-7860793-B2
Split sensing method,US-9830662-B1
Spot market clearing,US-7835973-B2
Streaming conversion,US-7925556-B1
Transferring an item,US-8655735-B2
Universal tax engine,US-7933803-B1
Universal tax engine,US-8332274-B2
Waste sensing system,US-7483837-B2
"Dynamic electronic insurance policy branding and associated delivery documents-displayed via the web/internet to various participants in the distribution chain from the insurance manufacture through wholesale brokerage channels, retail insurance agent and the policy applicant",US-8504457-B1
Advisor referral tool,US-7752054-B1
Agency payment system,US-7930235-B2
Anonymous credit card,US-7222097-B2
Asset investment tool,US-8527387-B2
Asset investment tool,US-8527386-B2
Auditor&#39;s toolbox,US-8355964-B2
Authentication alerts,US-9665854-B1
Authentication device,US-7467299-B2
Brownfields investing,US-7346572-B2
Brownfields investing,US-7747487-B2
Bulk order management,US-9466080-B2
Card charging systems,US-5930363-A
Cash flow forecasting,US-7555451-B2
Cellsite budgetmaster,US-7499890-B1
Computer-based system,US-8175948-B2
Computer-based system,US-8332300-B2
Context administrator,US-6993556-B1
Conversion calculator,US-4092523-A
Coupon payment system,US-7613656-B2
Credit card messenger,US-7698215-B1
Credit control system,US-3719927-A
Credit risk framework,US-7974918-B1
Credit risk framework,US-8260702-B1
Data stream converter,US-9721037-B2
Discoverable services,US-7869887-B2
Economic intelligence,US-8306894-B2
Electronic calculator,US-3896290-A
Exposure driven index,US-7756768-B2
Funds transfer system,US-5175416-A
GUI for risk profiles,US-8423388-B1
Health care financing,US-8090591-B2
Hybrid online auction,US-8204818-B1
Identity risk scoring,US-10049359-B2
Implied order quality,US-8249980-B2
Insurance policy hold,US-8566131-B1
Insurance rating plan,US-8719134-B1
Internet-calling card,US-8510217-B1
Investment management,US-6052673-A
Investment management,US-8121924-B1
Life insurance option,US-8589147-B2
Location based credit,US-8566227-B2
Message consolidation,US-7962401-B2
Money services system,US-8719129-B2
Mortgage loan product,US-7925580-B2
Online bidding system,US-7315832-B2
Online buyback system,US-9002735-B2
Order match insurance,US-8515853-B2
Order matching system,US-8108294-B2
Order matching system,US-7110975-B2
Personal savings plan,US-9330415-B1
Point of sale pairing,US-9911111-B2
Point of sale pairing,US-9680822-B2
Providing advertising,US-8782696-B2
Risk reduction system,US-6647375-B1
Route risk mitigation,US-9020751-B1
Route risk mitigation,US-9865019-B2
Route risk mitigation,US-9932033-B2
Route risk mitigation,US-10037578-B2
Route risk mitigation,US-10037580-B2
Route risk mitigation,US-8996303-B1
Route risk mitigation,US-8606512-B1
Route risk mitigation,US-10037579-B2
Sales transaction hub,US-7752093-B2
Scenario optimization,US-5148365-A
Secure payment system,US-8219488-B2
Self service terminal,US-7716134-B2
Self-service terminal,US-7942315-B2
Self-service terminal,US-7194414-B1
Self-service terminal,US-7603315-B2
Self-service terminal,US-7680710-B2
Seller categorization,US-8719142-B1
Sub-account mechanism,US-8249985-B2
Target pricing system,US-6963854-B1
Temporary waiver tool,US-10013715-B2
Total Fair Value Swap,US-8650112-B2
Total fair value swap,US-7987127-B1
Total fair value swap,US-7567928-B1
Track data encryption,US-7818264-B2
Track data encryption,US-8843417-B2
Track data encryption,US-8972303-B2
Trading order routing,US-8131630-B2
Transaction retrieval,US-9600845-B2
Transaction signature,US-7454385-B2
Transaction signature,US-7062470-B2
Transaction signature,US-6675152-B1
Transferring a ticket,US-8645218-B2
Trend data clustering,US-9177344-B1
Virtual calling modes,US-9124698-B2
Virtual supercomputer,US-8271259-B2
Virtual supercomputer,US-7774191-B2
Waste sorting network,US-7126480-B2
XML encryption scheme,US-6694433-B1
Accruals determination,US-7908228-B2
Analyzing data quality,US-8751436-B2
Audio-based 3D scanner,US-9519058-B1
Automated sales system,US-5309355-A
Bid positioning system,US-7644020-B2
Bid positioning system,US-7565314-B2
Bill payment migration,US-7783567-B1
Business analysis tool,US-7822654-B2
Car wallet application,US-9213973-B2
Card settlement system,US-7341180-B2
Cash accounting system,US-4532417-A
Cash accounting system,US-4532641-A
Cash management system,US-7850076-B1
Cash management system,US-6067530-A
Cash to card recycling,US-8175970-B1
Check clearing systems,US-8121951-B2
Check image processing,US-8620057-B1
Check image processing,US-8059881-B1
Checkwriter and method,US-5583783-A
Child identity monitor,US-7975299-B1
Child identity monitor,US-7841004-B1
Commercial card packet,US-9171331-B1
Commodity order system,US-7467101-B2
Crowdfunding framework,US-9830651-B1
Data feed acceleration,US-9667751-B2
Data feed acceleration,US-9141992-B2
Data management system,US-8473377-B2
Data processing method,US-8027887-B2
Dental charting system,US-9710603-B2
Digital mapping system,US-7379811-B2
Digital mapping system,US-9842380-B2
Digital mapping system,US-8014946-B2
Digital mapping system,US-7894984-B2
Digital mapping system,US-7158878-B2
Displaying market data,US-7853505-B2
Displaying market data,US-7949598-B2
Displaying market data,US-7953656-B2
Displaying market data,US-7650305-B1
Dual source bank float,US-8255322-B2
E-business bid process,US-6785660-B1
E-check and e-commerce,US-8645241-B2
Employee-based payroll,US-7941351-B1
Encrypting file system,US-7096358-B2
Farm management system,US-5897619-A
Financial model engine,US-7657470-B1
Foreign currency index,US-8121936-B2
Foreign currency index,US-8473406-B2
Foreign currency index,US-7983978-B2
Foreign currency index,US-8260701-B2
Foreign exchange token,US-9600817-B2
Future value analytics,US-7702554-B2
Future value analytics,US-7983973-B2
Future valve analytics,US-7398240-B2
Guarantee certificates,US-8065207-B1
Guarantee certificates,US-7028007-B1
Guarantee certificates,US-8065208-B1
Hybrid cross-margining,US-7930245-B2
Hybrid cross-margining,US-7801810-B2
Image change detection,US-9396552-B1
Index selection method,US-7469223-B2
Insurance credit model,US-7933787-B1
Interchange categories,US-8019681-B2
Interchange categories,US-8244634-B2
Investment policy tool,US-8332299-B1
Lockbox browser system,US-6301567-B1
Market motion detector,US-7567927-B2
Medical payment system,US-7346522-B1
Medical payment system,US-8527298-B2
Medical payment system,US-8195482-B2
Medical payment system,US-4858121-A
Medical payment system,US-8019627-B2
Money fund bank system,US-RE43246-E
On-line payment system,US-7177830-B2
On-line trading system,US-7529704-B1
One swipe registration,US-9799071-B1
Online map advertising,US-8560386-B2
Online map advertising,US-8249930-B2
Online map advertising,US-8676648-B2
Optical disc apparatus,US-7860756-B2
Patent drafting system,US-9990351-B2
Portfolio optimization,US-7809626-B2
Price quotation system,US-4473824-A
Printer service denial,US-6826547-B1
Proprietary quote data,US-7797221-B2
Remote claims adjuster,US-9407874-B2
Remote system override,US-7648064-B2
Reprice-to-block order,US-8301542-B2
Reprice-to-block order,US-7877316-B2
Revenue assurance tool,US-7720759-B2
Risk assessment method,US-8515783-B1
Risk management system,US-8073758-B2
Sample data extraction,US-9916358-B2
Secure auction systems,US-6055518-A
Self service rate lock,US-8554665-B1
Self-checkout terminal,US-7386472-B1
Shareholder value tool,US-7899723-B2
Shareholder value tool,US-7912769-B2
Short sale information,US-8359256-B1
Stock purchase indices,US-8412611-B2
Stock purchase indices,US-7856391-B2
Stock purchase indices,US-8180696-B2
Stock purchase indices,US-6901383-B1
Stock purchase indices,US-7882005-B2
Stock purchase indices,US-8412612-B2
Tax declaration system,US-7707079-B2
Tax transaction system,US-8306881-B2
Tax transaction system,US-8676675-B2
Tax transaction system,US-7809614-B2
Tradesmans card system,US-7938319-B2
Traffic news interface,US-10062280-B2
Transaction aggregator,US-8086528-B2
Transaction aggregator,US-9818118-B2
Transaction allocation,US-7856383-B2
Transaction allocation,US-7853503-B2
Transaction assistance,US-9595065-B2
Transaction processing,US-8639623-B2
Transaction processing,US-8229854-B2
Transaction split fees,US-9734489-B2
Transaction split fees,US-8504433-B2
Vehicle turn detection,US-9905127-B1
Vehicle turn detection,US-9666067-B1
Weight based upselling,US-7571105-B2
Weight based upselling,US-7509262-B2
Account synchronization,US-8001045-B1
Adaptive volume control,US-9417936-B2
Advanced data integrity,US-8126824-B2
Advanced data integrity,US-8583570-B2
Anonymous communication,US-7703693-B2
Asset price forecasting,US-7337135-B1
Associate risk analysis,US-8595040-B2
Audit system and method,US-7072895-B2
Auditron access printer,US-6216113-B1
Automated audit process,US-7478061-B1
Automated audit process,US-8326709-B1
Automated group payment,US-7398252-B2
Betting exchange system,US-7690991-B2
Calendar spread futures,US-8639601-B2
Capture and link object,US-7864360-B2
Cash flow rating system,US-8244617-B2
Cash settlement machine,US-5943655-A
Claims analytics engine,US-8762180-B2
Client deposit tracking,US-9159102-B2
Common index securities,US-7716106-B2
Common index securities,US-7155468-B2
Communal vehicle system,US-6965323-B2
Computer auction system,US-5890138-A
Computer auction system,US-6266652-B1
Configurable interfaces,US-7801949-B2
Contactless disablement,US-9160416-B2
Contactless disablement,US-8320962-B2
Contactless transaction,US-10057085-B2
Content display monitor,US-8713428-B2
Content display monitor,US-7613635-B2
Content display monitor,US-7720964-B2
Content display monitor,US-7653724-B2
Content display monitor,US-8719698-B2
Content display monitor,US-6108637-A
Content display monitor,US-7756974-B2
Content display monitor,US-7720963-B2
Content display monitor,US-7650407-B2
Content display monitor,US-7716326-B2
Content display monitor,US-7644156-B2
Content display monitor,US-8769394-B2
Content display monitor,US-7590568-B2
Credit score simulation,US-8589286-B1
Credit score simulation,US-8321334-B1
Credit score simulation,US-7925582-B1
Credit score simulation,US-7593891-B2
Customer interface unit,US-7047216-B2
Detecting credit misuse,US-8504469-B2
Digital asset insurance,US-8126745-B1
Digital asset insurance,US-7974861-B1
Digital online exchange,US-7080030-B2
Digital online exchange,US-7848959-B2
Digital online exchange,US-8117062-B2
Domain name marketplace,US-7711851-B2
Drivers license look-up,US-9256866-B2
Dual use payment device,US-7575177-B2
Dual use payment device,US-7988060-B2
E-commerce activity log,US-7401033-B2
E-commerce activity log,US-8015077-B2
Electronic market-maker,US-7599876-B1
Exchange of information,US-7539639-B2
Finance diagnostic tool,US-8719076-B2
Financial charge rebate,US-8577796-B2
Forfaiting transactions,US-7571132-B2
Image processing system,US-7630518-B2
Industry size of wallet,US-8615458-B2
Industry size of wallet,US-8239250-B2
Industry size of wallet,US-8401947-B2
Intelligent feed switch,US-9990393-B2
Intelligent transaction,US-6144941-A
Internet billing method,US-8019682-B2
